input_text_bio,bio_tags
Which line should I take from chong nonsii station to reach Skytrain RATCHADAMRI ?,O O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O B-Ratchadamri I-Ratchadamri O
Can I go from Skytrain ratchadari to surask station without switching ?,O O O O B-Ratchadamri I-Ratchadamri O B-Surasak I-Surasak O O O
Which station do I change at when going from saphan takshin station to Skytrain SALA DAENG ?,O O O O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
How many stations are between BTS saintlouis and ratchadumri ?,O O O O O B-Saint_Louis I-Saint_Louis O B-Ratchadamri O
How many stations are between Skytrain sapan taksin and the national stadium station ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
How many stops between saepha ntaksin station and BTS st louie ?,O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
Does st louis station connect to Skytrain siam ?,O B-Saint_Louis I-Saint_Louis I-Saint_Louis O O B-Siam I-Siam O
What is the fastest way to get from sapan taksin to Skytrain swintlouis by Skytrain ?,O O O O O O O O B-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis O O O
Can I ride BTS from Skytrain siaam to SAPHAN TAKSIN directly ?,O O O O O B-Siam I-Siam O B-Saphan_Taksin I-Saphan_Taksin O O
What is the fastest way to get from ratchadamree BTS to Skytrain saphan takzin by Skytrain ?,O O O O O O O O B-Ratchadamri I-Ratchadamri O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O O
How many minutes between siam BTS and Skytrain santlouis by BTS ?,O O O O B-Siam I-Siam O B-Saint_Louis I-Saint_Louis O O O
Can I ride BTS from stadium national BTS stop to chong nonsie station directly ?,O O O O O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O
Can I go from sulasak BTS stop to saladaeng BTS stop without switching ?,O O O O B-Surasak I-Surasak I-Surasak O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O O O
How many stations are between saintloyis and BTS suracak ?,O O O O O B-Saint_Louis O B-Surasak I-Surasak O
Which interchange connects Skytrain rajadamri to st louis BTS ?,O O O B-Ratchadamri I-Ratchadamri O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
Can I go from surassak to Skytrain cheongnonsi without switching ?,O O O O B-Surasak O B-Chong_Nonsi I-Chong_Nonsi O O O
How many stops between st. louis and Skytrain sizm ?,O O O O B-Saint_Louis I-Saint_Louis O B-Siam I-Siam O
Is there a transfer between sapan taksin station and Skytrain chong nonsi ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Is it possible to travel from BTS SAINT LOUIS to ntl stadium without transfer ?,O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-National_Stadium I-National_Stadium O O O
How many stops between suurasak station and BTS sala deng ?,O O O O B-Surasak I-Surasak O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
Is there a direct BTS line connecting national studiam BTS and Skytrain saiam ?,O O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Siam I-Siam O
Is there a transfer between CHONG NONSI BTS and Skytrain saphantaksiun ?,O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Saphan_Taksin I-Saphan_Taksin O
How do I commute from siaj BTS stop to salah daeng station using BTS ?,O O O O O B-Siam I-Siam I-Siam O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O O O
Is it possible to travel from radchadamri to siuam without transfer ?,O O O O O O B-Ratchadamri O B-Siam O O O
Which interchange connects st luis BTS stop to safant aksin ?,O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Saphan_Taksin I-Saphan_Taksin O
Can I go from saintlouis station to Skytrain sanam keela without switching ?,O O O O B-Saint_Louis I-Saint_Louis O B-National_Stadium I-National_Stadium I-National_Stadium O O O
Is there a direct BTS line connecting saint kouis station and BTS chong nonsy ?,O O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Can I ride BTS from saphan takin station to siyam station directly ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Siam I-Siam O O
Is it possible to travel from sulasak station to cheongnonsi BTS stop without transfer ?,O O O O O O B-Surasak I-Surasak O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
What is the BTS route from chong non si station to national studiam station ?,O O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-National_Stadium I-National_Stadium I-National_Stadium O
Does Skytrain rachadumri connect to safantaksin station ?,O B-Ratchadamri I-Ratchadamri O O B-Saphan_Taksin I-Saphan_Taksin O
Which interchange connects rajadamri station to CHONG NONSI ?,O O O B-Ratchadamri I-Ratchadamri O B-Chong_Nonsi I-Chong_Nonsi O
Is it possible to travel from SAPHAN TAKSIN BTS stop to stadium bts station without transfer ?,O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium I-National_Stadium O O O
Do I need to change lines from BTS saintouis to saphan taxin station ?,O O O O O O O B-Saint_Louis I-Saint_Louis O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
What is the BTS route from Skytrain sapan taksin to rachadumri BTS ?,O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Ratchadamri I-Ratchadamri O
Can I go from NATIONAL STADIUM BTS to Skytrain saphan takshin without switching ?,O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O O
How do I commute from BTS st louie to chong non si BTS stop using BTS ?,O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
Which line should I take from saphan taksine to reach Skytrain chong nonsi ?,O O O O O O B-Saphan_Taksin I-Saphan_Taksin O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Do I need to change lines from siaam station to suraasak ?,O O O O O O O B-Siam I-Siam O B-Surasak O
Is it possible to travel from BTS ratchdamri to SAPHAN TAKSIN BTS stop without transfer ?,O O O O O O B-Ratchadamri I-Ratchadamri O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O O
Does siam BTS connect to saintlouis ?,O B-Siam I-Siam O O B-Saint_Louis O
How many minutes between saphan aksin BTS and Skytrain saint luis by BTS ?,O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis I-Saint_Louis O O O
Is it possible to travel from saint louis station to chongnoni station without transfer ?,O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi O O O
Can I ride BTS from Skytrain ratchadamri to sayam directly ?,O O O O O B-Ratchadamri I-Ratchadamri O B-Siam O O
Can I go from Skytrain radchadamri to BTS siyam without switching ?,O O O O B-Ratchadamri I-Ratchadamri O B-Siam I-Siam O O O
How many stops between Skytrain saphantaksin and st louie BTS stop ?,O O O O B-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O
Is there a direct BTS line connecting Skytrain sioam and Skytrain national sport stadium ?,O O O O O O O B-Siam I-Siam O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
Is there a direct BTS line connecting Skytrain suracak and chong nonsy ?,O O O O O O O B-Surasak I-Surasak O B-Chong_Nonsi I-Chong_Nonsi O
What is the fastest way to get from BTS SAPHAN TAKSIN to Skytrain stadium national by Skytrain ?,O O O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium I-National_Stadium O O O
